id_pa;nazwa_podmiotu;rpt_podmiotu;medium;plan_data_oddania;przepustowosc;czy_szkola;wojewodztwo;powiat;kod_terc;gmina;kod_simc;miejscowosc;kod_ulic;ulica;numer_porzadkowy;x92;y92;x84;y84;teryt_g;wkt;ulica_old;teryt_p;teryt_w
1214097;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;ŚREDZKI;218032;MIĘKINIA;877520;WILKSZYN;2657;UL. CHABROWA;2A;351272;371312;16,8710410000;51,1891590000;0218032;POINT(351272.009493531 371312.045652295);;0218;02
928323;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;ŚREDZKI;218032;MIĘKINIA;877520;WILKSZYN;2657;UL. CHABROWA;11;351287;371434;16,8712050000;51,1902590000;0218032;POINT(351287.006982445 371433.987217686);;0218;02
1316646;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;ŚREDZKI;218032;MIĘKINIA;877520;WILKSZYN;2657;UL. CHABROWA;9;351272;371415;16,8709980000;51,1900840000;0218032;POINT(351271.984330812 371414.953465467);;0218;02
324291;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;ŚREDZKI;218032;MIĘKINIA;877520;WILKSZYN;2657;UL. CHABROWA;6;351297;371378;16,8713710000;51,1897580000;0218032;POINT(351296.989295005 371377.961393354);;0218;02
324298;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;ŚREDZKI;218032;MIĘKINIA;877520;WILKSZYN;2657;UL. CHABROWA;7;351278;371397;16,8710910000;51,1899240000;0218032;POINT(351277.965313778 371396.980066796);;0218;02
1095410;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;ŚREDZKI;218032;MIĘKINIA;877520;WILKSZYN;2657;UL. CHABROWA;2;351280;371332;16,8711470000;51,1893400000;0218032;POINT(351279.996647076 371331.950704097);;0218;02
312524;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;ŚREDZKI;218032;MIĘKINIA;877520;WILKSZYN;2657;UL. CHABROWA;4;351289;371355;16,8712660000;51,1895500000;0218032;POINT(351288.985189202 371355.053037193);;0218;02
282338;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;ŚREDZKI;218032;MIĘKINIA;877520;WILKSZYN;2657;UL. CHABROWA;5;351267;371372;16,8709450000;51,1896970000;0218032;POINT(351267.036040615 371372.042706855);;0218;02
282336;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;ŚREDZKI;218032;MIĘKINIA;877520;WILKSZYN;2657;UL. CHABROWA;8;351306;371403;16,8714900000;51,1899850000;0218032;POINT(351306.032422542 371402.953434628);;0218;02
958531;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;ŚREDZKI;218032;MIĘKINIA;877476;PISARZOWICE;1528;UL. BOCZNA;18;349887;372945;16,8505470000;51,2034750000;0218032;POINT(349886.997028696 372945.043116887);;0218;02
