id_pa;nazwa_podmiotu;rpt_podmiotu;medium;plan_data_oddania;przepustowosc;czy_szkola;wojewodztwo;powiat;kod_terc;gmina;kod_simc;miejscowosc;kod_ulic;ulica;numer_porzadkowy;x92;y92;x84;y84;teryt_g;wkt;ulica_old;teryt_p;teryt_w
225728;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;13;384071;354545;17,3456940000;51,0460020000;0215033;POINT(384071.000180829 354544.993712009);;0215;02
225727;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;30;384233;354720;17,3479490000;51,0476080000;0215033;POINT(384233.01910343 354719.972826189);;0215;02
225725;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;17A;384049;354594;17,3453640000;51,0464380000;0215033;POINT(384048.964823348 354593.979582396);;0215;02
225724;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;8;384043;354423;17,3453340000;51,0448990000;0215033;POINT(384043.019522511 354422.949096881);;0215;02
238079;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;5;383918;354286;17,3435950000;51,0436420000;0215033;POINT(383918.017431104 354285.957915399);;0215;02
238090;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;21;384148;354663;17,3467550000;51,0470790000;0215033;POINT(384148.034861152 354663.045526184);;0215;02
238070;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;3;383892;354255;17,3432340000;51,0433580000;0215033;POINT(383892.009706 354254.956973163);;0215;02
1048148;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;19;384132;354640;17,3465340000;51,0468690000;0215033;POINT(384132.025040763 354640.049189025);;0215;02
1048149;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;16;384125;354553;17,3464620000;51,0460850000;0215033;POINT(384125.02341383 354553.011727577);;0215;02
1048150;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;18;384146;354579;17,3467530000;51,0463230000;0215033;POINT(384146.008457249 354579.010472527);;0215;02
1048151;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;6;384032;354404;17,3451830000;51,0447260000;0215033;POINT(384032.006197315 354403.955850842);;0215;02
1048152;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;32;384249;354737;17,3481720000;51,0477640000;0215033;POINT(384249.033757768 354736.963595773);;0215;02
1048153;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;12;384092;354489;17,3460110000;51,0455030000;0215033;POINT(384091.967765639 354489.025219287);;0215;02
1048154;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;22;384180;354635;17,3472200000;51,0468330000;0215033;POINT(384180.004468268 354634.96852087);;0215;02
1048155;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;17C;384076;354612;17,3457440000;51,0466050000;0215033;POINT(384076.009261392 354611.945480202);;0215;02
1048147;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;17;384088;354564;17,3459300000;51,0461760000;0215033;POINT(384087.971774037 354563.964442921);;0215;02
1048157;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215034;JELCZ-LASKOWICE;987118;JELCZ-LASKOWICE;14975;UL. OLEŚNICKA;2;384073;354505;17,3457350000;51,0456430000;0215033;POINT(384072.97691111 354505.02216827);;0215;02
934942;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;5C;378297;342372;17,2674190000;50,9353590000;0215011;POINT(378296.973118737 342372.054331646);;0215;02
929347;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;41;378224;342163;17,2664510000;50,9334640000;0215011;POINT(378224.031470552 342163.005849579);;0215;02
929346;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;61;378199;342075;17,2661240000;50,9326670000;0215011;POINT(378198.980064999 342074.952161234);;0215;02
929348;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;43;378221;342154;17,2664110000;50,9333820000;0215011;POINT(378221.007587184 342153.956859905);;0215;02
929349;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;45;378219;342146;17,2663850000;50,9333100000;0215011;POINT(378218.993210494 342145.99634977);;0215;02
929350;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;49;378214;342128;17,2663200000;50,9331470000;0215011;POINT(378214.001653172 342127.984775743);;0215;02
953511;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;3E;378312;342391;17,2676260000;50,9355330000;0215011;POINT(378311.966875351 342391.054499665);;0215;02
953506;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;3A;378339;342408;17,2680050000;50,9356910000;0215011;POINT(378338.999852674 342407.992513795);;0215;02
947899;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;21;378254;342273;17,2668410000;50,9344590000;0215011;POINT(378254.024378949 342272.965120354);;0215;02
947906;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;27;378247;342247;17,2667500000;50,9342240000;0215011;POINT(378247.018735233 342246.992992119);;0215;02
1305982;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;5D;378294;342366;17,2673790000;50,9353040000;0215011;POINT(378294.019952956 342366.006586784);;0215;02
1303462;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;53;378209;342110;17,2662550000;50,9329840000;0215011;POINT(378209.010064934 342109.973206459);;0215;02
1303463;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;63;378197;342066;17,2660990000;50,9325860000;0215011;POINT(378197.012361614 342065.989580447);;0215;02
1305980;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;5E;378303;342368;17,2675060000;50,9353240000;0215011;POINT(378302.99257629 342368.020260009);;0215;02
1314637;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;3C;378325;342398;17,2678090000;50,9355980000;0215011;POINT(378324.990291437 342397.977986957);;0215;02
1312200;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;23;378252;342264;17,2668150000;50,9343780000;0215011;POINT(378251.986584215 342264.004168956);;0215;02
1312201;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;25;378249;342256;17,2667750000;50,9343050000;0215011;POINT(378248.986302491 342255.955591844);;0215;02
1316534;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;35;378237;342213;17,2666190000;50,9339160000;0215011;POINT(378237.012707937 342212.972302898);;0215;02
715493;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;33;378240;342221;17,2666590000;50,9339890000;0215011;POINT(378240.013029174 342221.020873247);;0215;02
669668;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;55;378206;342101;17,2662150000;50,9329030000;0215011;POINT(378205.988742327 342101.035384058);;0215;02
669669;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OŁAWSKI;215011;OŁAWA;987259;OŁAWA;24364;UL. WIOSENNA;57;378204;342092;17,2661900000;50,9328210000;0215011;POINT(378204.018445781 342091.961641917);;0215;02
