Śliwice, wrocławski, Dolnośląskie;Śliwice;;51.1273013;17.2133892
Zawonia, trzebnicki, Dolnośląskie;Zawonia;;51.3156477;17.196555
Droździęcin, oleśnicki, Dolnośląskie;Droździęcin;;51.4316667;17.4877778
Żerków, wołowski, Dolnośląskie;Żerków;;51.2975676;16.7014598
Malin, trzebnicki, Dolnośląskie;Malin;;51.2172483;17.0622972
Lubnów, trzebnicki, Dolnośląskie;Lubnów;;51.2628931;16.8854641
Pierwoszów, trzebnicki, Dolnośląskie;Pierwoszów;;51.2493843;17.0773822
Kowalowo, górowski, Dolnośląskie;Kowalowo;;51.55498;16.66424
Wilkowa, trzebnicki, Dolnośląskie;Wilkowa;;51.344607;16.9064661
Krościna Mała, trzebnicki, Dolnośląskie;Krościna Mała;;51.3749445;16.9436101
Kuźniczysko, trzebnicki, Dolnośląskie;Kuźniczysko;;51.3778263;17.1820323
Białe Błoto, oleśnicki, Dolnośląskie;Białe Błoto;;51.3325426;17.3541628
Kotowice, trzebnicki, Dolnośląskie;Kotowice;;51.2233649;16.9215651
Żmigród, trzebnicki, Dolnośląskie;Żmigród;;51.4717386;16.9082719
Osiek, trzebnicki, Dolnośląskie;;;51.4723553;16.987251
Oleśniczka, wrocławski, Dolnośląskie;Oleśniczka;;51.1469694;17.2804047
Ramiszów, wrocławski, Dolnośląskie;Ramiszów;;51.1903658;17.1026693
Cieszków, milicki, Dolnośląskie;Cieszków;;51.6338897;17.3469034
Goszcz, oleśnicki, Dolnośląskie;Goszcz;;51.3942;17.48045
Krępice, średzki, Dolnośląskie;Krępice;;51.162246;16.812383
Brzezina, średzki, Dolnośląskie;Brzezina;;51.2018289;16.8321775
Osolin, trzebnicki, Dolnośląskie;Osolin;;51.3423726;16.8467905
Świerzna, oleśnicki, Dolnośląskie;;56-400;51.186647;17.4259504
Dąbrowa, gm. Twardogóra, oleśnicki, Dolnośląskie;;56-416;51.3379757;17.4490747
