id;adres_id;wojewodztwo;powiat;gmina;miejscowosc;miejscowosc_nadrzedna;ulica;nr_domu;x92;y92;nazwa_podmiotu;maksymalna_predkosc;medium;internet_stacjonarny;telefon_stacjonarny;telewizja;wkt;teryt_g;teryt_p;teryt_w
212167;199504;DOLNOŚLĄSKIE;OŁAWSKI;JELCZ-LASKOWICE;JELCZ-LASKOWICE;JELCZ-LASKOWICE;UL. LUDWIKA HIRSZFELDA;4E;383822;353441;"""TVK"" ELŻBIETA ZJAWIONA";POWYŻEJ 100;KABLOWE WSPÓŁOSIOWE MIEDZIANE;TAK;NIE;TAK;POINT(383822 353441);0215033;0215;02
252388;1546137;DOLNOŚLĄSKIE;OŁAWSKI;OŁAWA;OŁAWA;OŁAWA;UL. 1 MAJA;38A;380471;342335;NETIA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(380471 342335);0215011;0215;02
286274;524491;DOLNOŚLĄSKIE;OŁAWSKI;OŁAWA;OŁAWA;OŁAWA;UL. 1 MAJA;18;380592;342750;NETIA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(380592 342750);0215011;0215;02
349617;524590;DOLNOŚLĄSKIE;OŁAWSKI;OŁAWA;OŁAWA;OŁAWA;UL. KAMIENNA;22;380523;342242;NETIA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(380523 342242);0215011;0215;02
413558;4623480;DOLNOŚLĄSKIE;OŁAWSKI;JELCZ-LASKOWICE;JELCZ-LASKOWICE;JELCZ-LASKOWICE;UL. GIMNAZJALNA;33;383165;353858;ORANGE POLSKA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(383165 353858);0215033;0215;02
513292;194909;DOLNOŚLĄSKIE;OŁAWSKI;OŁAWA;OŁAWA;OŁAWA;UL. WŁADYSŁAWA BRONIEWSKIEGO;14;379367;343525;NETIA S.A.;DO 6;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(379367 343525);0215011;0215;02
552655;524344;DOLNOŚLĄSKIE;OŁAWSKI;OŁAWA;OŁAWA;OŁAWA;UL. MŁYŃSKA;50;380821;343019;ORANGE POLSKA S.A.;DO 80;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(380821 343019);0215011;0215;02
660353;6202751;DOLNOŚLĄSKIE;OŁAWSKI;OŁAWA;OŁAWA;OŁAWA;UL. 3 MAJA;14;380710;342804;NETIA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(380710 342804);0215011;0215;02
682675;194778;DOLNOŚLĄSKIE;OŁAWSKI;OŁAWA;OŁAWA;OŁAWA;UL. CYPRIANA KAMILA NORWIDA;19;379083;344232;ORANGE POLSKA S.A.;DO 8;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(379083 344232);0215011;0215;02
915876;200157;DOLNOŚLĄSKIE;OŁAWSKI;JELCZ-LASKOWICE;MIŁOSZYCE;MIŁOSZYCE;UL. SŁONECZNA;1;381725;354664;ORANGE POLSKA S.A.;DO 80;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(381725 354664);0215033;0215;02
986528;501919;DOLNOŚLĄSKIE;OŁAWSKI;JELCZ-LASKOWICE;JELCZ-LASKOWICE;JELCZ-LASKOWICE;UL. RÓŻANA;11;383277;353470;NETIA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(383277 353470);0215033;0215;02
999372;189153;DOLNOŚLĄSKIE;OŁAWSKI;OŁAWA;OŁAWA;OŁAWA;UL. LIPOWA;14;379845;343616;ORANGE POLSKA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(379845 343616);0215011;0215;02
1044285;188819;DOLNOŚLĄSKIE;OŁAWSKI;JELCZ-LASKOWICE;JELCZ-LASKOWICE;JELCZ-LASKOWICE;UL. RUMIANKOWA;51;383442;353551;ORANGE POLSKA S.A.;DO 80;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(383442 353551);0215033;0215;02
1194312;187730;DOLNOŚLĄSKIE;OŁAWSKI;OŁAWA;MARSZOWICE;MARSZOWICE;;19;374458;341407;ORANGE POLSKA S.A.;DO 4;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(374458 341407);0215042;0215;02
1266416;194909;DOLNOŚLĄSKIE;OŁAWSKI;OŁAWA;OŁAWA;OŁAWA;UL. WŁADYSŁAWA BRONIEWSKIEGO;14;379367;343525;ORANGE POLSKA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(379367 343525);0215011;0215;02
