id_pa;nazwa_podmiotu;rpt_podmiotu;medium;plan_data_oddania;przepustowosc;czy_szkola;wojewodztwo;powiat;kod_terc;gmina;kod_simc;miejscowosc;kod_ulic;ulica;numer_porzadkowy;x92;y92;x84;y84;teryt_g;wkt;ulica_old;teryt_p;teryt_w
1157542;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;17011;UL. POLNA;1;355812;377354;16,9335520000;51,2446340000;0220013;POINT(355812.030143145 377353.964557189);;0220;02
1157480;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;12740;UL. ADAMA MICKIEWICZA;22;355425;377913;16,9277830000;51,2495610000;0220013;POINT(355424.985723304 377912.988352513);;0220;02
1157482;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;12740;UL. ADAMA MICKIEWICZA;14;355458;377841;16,9282850000;51,2489220000;0220013;POINT(355458.002231178 377840.969344044);;0220;02
1157481;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;12740;UL. ADAMA MICKIEWICZA;18;355422;377866;16,9277590000;51,2491380000;0220013;POINT(355421.984595155 377866.015136454);;0220;02
663365;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;12740;UL. ADAMA MICKIEWICZA;24;355409;377943;16,9275420000;51,2498270000;0220013;POINT(355409.0076186 377943.031224987);;0220;02
394489;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;12740;UL. ADAMA MICKIEWICZA;6;355561;377798;16,9297780000;51,2485620000;0220013;POINT(355561.029812012 377798.014628567);;0220;02
394482;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;12740;UL. ADAMA MICKIEWICZA;17;355372;377831;16,9270570000;51,2488110000;0220013;POINT(355371.9853638 377831.048170504);;0220;02
1213108;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;12740;UL. ADAMA MICKIEWICZA;15;355410;377823;16,9276050000;51,2487480000;0220013;POINT(355410.017774624 377822.966114437);;0220;02
1197280;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;12740;UL. ADAMA MICKIEWICZA;16;355439;377848;16,9280100000;51,2489800000;0220013;POINT(355438.999401377 377847.957853707);;0220;02
302827;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;12740;UL. ADAMA MICKIEWICZA;21;355359;377889;16,9268480000;51,2493290000;0220013;POINT(355359.030476769 377889.040368708);;0220;02
302829;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220015;OBORNIKI ŚLĄSKIE;878748;PĘGÓW;12740;UL. ADAMA MICKIEWICZA;23;355256;377900;16,9253680000;51,2494010000;0220013;POINT(355256.008750626 377899.95967063);;0220;02
229762;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220042;WISZNIA MAŁA;883123;SZYMANÓW;24364;UL. WIOSENNA;2;361486;371716;17,0169950000;51,1953590000;0220042;POINT(361485.974185814 371716.038596342);;0220;02
1390947;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220042;WISZNIA MAŁA;883123;SZYMANÓW;24364;UL. WIOSENNA;2A;361463;371701;17,0166720000;51,1952180000;0220042;POINT(361462.991409233 371700.973807692);;0220;02
1390975;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220042;WISZNIA MAŁA;883123;SZYMANÓW;24364;UL. WIOSENNA;5;361481;371767;17,0169040000;51,1958160000;0220042;POINT(361480.989077603 371767.010168575);;0220;02
1333110;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220042;WISZNIA MAŁA;883123;SZYMANÓW;24364;UL. WIOSENNA;6;361503;371765;17,0172200000;51,1958030000;0220042;POINT(361503.020766552 371764.969597031);;0220;02
1333109;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220042;WISZNIA MAŁA;883123;SZYMANÓW;24364;UL. WIOSENNA;4;361493;371742;17,0170850000;51,1955940000;0220042;POINT(361492.965006217 371741.991568583);;0220;02
1262932;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220042;WISZNIA MAŁA;883123;SZYMANÓW;24364;UL. WIOSENNA;3;361457;371748;17,0165680000;51,1956390000;0220042;POINT(361456.990530201 371747.968152691);;0220;02
583067;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220042;WISZNIA MAŁA;883123;SZYMANÓW;24364;UL. WIOSENNA;8;361522;371794;17,0174800000;51,1960690000;0220042;POINT(361521.977815959 371794.048243439);;0220;02
1090723;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220042;WISZNIA MAŁA;883123;SZYMANÓW;24364;UL. WIOSENNA;7;361480;371807;17,0168740000;51,1961750000;0220042;POINT(361479.970586865 371806.973114643);;0220;02
1127710;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220042;WISZNIA MAŁA;883123;SZYMANÓW;24364;UL. WIOSENNA;1;361448;371723;17,0164490000;51,1954120000;0220042;POINT(361447.998041782 371722.959171662);;0220;02
1668449;FIBEE I sp. z o.o.;;światłowodowe;20220630;;0;OPOLSKIE;NAMYSŁOWSKI;1606024;NAMYSŁÓW;965743;NAMYSŁÓW;16264;UL. JÓZEFA PIŁSUDSKIEGO;18C;356518;410712;16,9301698530;51,5446592815;0220063;POINT(356518 410712);;0220;02
952985;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;2A;364799;384984;17,0593790000;51,3154270000;0220033;POINT(364798.995347404 384983.959421405);;0220;02
1159795;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;16;364583;384934;17,0563000000;51,3149260000;0220033;POINT(364583.027259075 384933.944681894);;0220;02
1159783;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;17;364649;384924;17,0572500000;51,3148520000;0220033;POINT(364648.990122868 384923.965893076);;0220;02
1159794;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;6A;364697;384967;17,0579220000;51,3152500000;0220033;POINT(364696.975377756 384966.969237495);;0220;02
1159779;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;9;364810;384968;17,0595430000;51,3152860000;0220033;POINT(364810.005573733 384967.983341181);;0220;02
1159778;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;6;364713;384963;17,0581530000;51,3152180000;0220033;POINT(364712.973475661 384962.986116735);;0220;02
1159791;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;12;364616;384941;17,0567700000;51,3149970000;0220033;POINT(364615.978305931 384940.969954347);;0220;02
304694;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;2;364731;384978;17,0584060000;51,3153570000;0220033;POINT(364731.00721171 384977.971280483);;0220;02
304693;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;21;364610;384916;17,0566940000;51,3147710000;0220033;POINT(364610.018469374 384915.987456713);;0220;02
304692;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;13;364691;384935;17,0578480000;51,3149610000;0220033;POINT(364690.969914121 384934.979725951);;0220;02
304695;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;11A;364709;384940;17,0581050000;51,3150100000;0220033;POINT(364709.017678437 384939.952813436);;0220;02
304690;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;7;364823;384974;17,0597270000;51,3153430000;0220033;POINT(364822.991188221 384973.980623859);;0220;02
304689;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;8;364683;384953;17,0577270000;51,3151210000;0220033;POINT(364683.011415377 384952.988856861);;0220;02
382304;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;11;364791;384964;17,0592720000;51,3152460000;0220033;POINT(364791.009194854 384964.036159976);;0220;02
382305;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;25;364565;384910;17,0560510000;51,3147060000;0220033;POINT(364565.033018252 384909.948487836);;0220;02
382306;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;23;364591;384913;17,0564220000;51,3147400000;0220033;POINT(364590.978551359 384913.0433206);;0220;02
382309;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;3;364870;384983;17,0603980000;51,3154350000;0220033;POINT(364870.005590571 384982.971672677);;0220;02
382310;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;5;364854;384980;17,0601700000;51,3154040000;0220033;POINT(364854.03129003 384979.945535538);;0220;02
382301;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;4;364720;384965;17,0582530000;51,3152380000;0220033;POINT(364719.998656471 384965.025001587);;0220;02
382302;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;15;364668;384927;17,0575220000;51,3148840000;0220033;POINT(364668.03290092 384927.021406495);;0220;02
382303;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;TRZEBNICKI;220034;TRZEBNICA;987383;TRZEBNICA;20291;UL. JULIUSZA SŁOWACKIEGO;10;364662;384948;17,0574270000;51,3150710000;0220033;POINT(364661.965186783 384947.984006971);;0220;02
