id_pa;nazwa_podmiotu;rpt_podmiotu;medium;plan_data_oddania;przepustowosc;czy_szkola;wojewodztwo;powiat;kod_terc;gmina;kod_simc;miejscowosc;kod_ulic;ulica;numer_porzadkowy;x92;y92;x84;y84;teryt_g;wkt;ulica_old;teryt_p;teryt_w
968096;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214011;OLEŚNICA;987213;OLEŚNICA;23073;UL. TRZEBNICKA;15;386108;373796;17,3686600000;51,2195020000;0214011;POINT(386107.977281764 373795.951743172);;0214;02
968107;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214011;OLEŚNICA;987213;OLEŚNICA;23073;UL. TRZEBNICKA;21;386112;373835;17,3687050000;51,2198540000;0214011;POINT(386111.987503103 373835.01205477);;0214;02
968108;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214011;OLEŚNICA;987213;OLEŚNICA;23073;UL. TRZEBNICKA;27;386132;373810;17,3689990000;51,2196330000;0214011;POINT(386131.966445056 373809.988983182);;0214;02
1321746;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214011;OLEŚNICA;987213;OLEŚNICA;23073;UL. TRZEBNICKA;23;386112;373841;17,3687030000;51,2199080000;0214011;POINT(386111.981153556 373841.018061143);;0214;02
1321745;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214011;OLEŚNICA;987213;OLEŚNICA;23073;UL. TRZEBNICKA;9;386108;373763;17,3686710000;51,2192060000;0214011;POINT(386108.014669241 373763.029875469);;0214;02
1321744;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214011;OLEŚNICA;987213;OLEŚNICA;23073;UL. TRZEBNICKA;5;386129;373761;17,3689720000;51,2191920000;0214011;POINT(386128.993358688 373761.007087203);;0214;02
759537;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214011;OLEŚNICA;987213;OLEŚNICA;23073;UL. TRZEBNICKA;6;386161;373750;17,3694340000;51,2190990000;0214011;POINT(386161.016824938 373749.952924411);;0214;02
766888;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214011;OLEŚNICA;987213;OLEŚNICA;23073;UL. TRZEBNICKA;13;386107;373789;17,3686480000;51,2194390000;0214011;POINT(386106.984062662 373788.966951642);;0214;02
766889;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214011;OLEŚNICA;987213;OLEŚNICA;23073;UL. TRZEBNICKA;31;386129;373787;17,3689640000;51,2194260000;0214011;POINT(386129.012279124 373787.032077997);;0214;02
766890;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214011;OLEŚNICA;987213;OLEŚNICA;23073;UL. TRZEBNICKA;7;386122;373762;17,3688720000;51,2192000000;0214011;POINT(386122.03195688 373762.051373588);;0214;02
203532;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;11;407643;391659;17,6723930000;51,3840250000;0214053;POINT(407643.006049605 391658.99933063);;0214;02
203535;ORANGE POLSKA SPÓŁKA AKCYJNA;;światłowodowe;20200930;100;;DOLNOŚLĄSKIE;OLEŚNICKI;214055;MIĘDZYBÓRZ;203619;KRASZÓW;99999;;21;407913;391671;17,6762700000;51,3841770000;0214053;POINT(407913.009947367 391671.020804101);;0214;02
